1	0	0	1	0145	9	18	无法无天	天尊道袍	98915681	1	0(8700)	2018-02-14 21:04:04
1	0	0	1	0145	9	18	无法无天	天尊头盔	93436362	1	0(5530)	2018-02-14 21:04:07
1	0	0	1	0145	9	18	无法无天	血饮	93988499	1	0(10600)	2018-02-14 21:04:07
1	0	0	1	0145	9	18	无法无天	天尊头盔	93209942	1	0(1820)	2018-02-14 21:04:10
1	0	0	1	0145	9	18	无法无天	圣战手镯	93436361	1	0(4130)	2018-02-14 21:04:28
1	0	0	1	0145	9	18	无法无天	圣战戒指	94531141	1	0(4690)	2018-02-14 21:04:28
1	0	0	10	3	328	331	无法无天	裁决之杖	93436381	1	装备回收	2018-02-14 21:06:22
1	0	0	10	3	328	331	无法无天	龙纹剑	93481849	1	装备回收	2018-02-14 21:06:22
1	0	0	10	3	328	331	无法无天	龙纹剑	172945364	1	装备回收	2018-02-14 21:06:22
1	0	0	10	3	328	331	无法无天	骨玉权杖	93436382	1	装备回收	2018-02-14 21:06:25
1	0	0	10	3	328	331	无法无天	骨玉权杖	93291467	1	装备回收	2018-02-14 21:06:25
1	0	0	10	3	328	331	无法无天	恶魔铃铛	93671840	1	装备回收	2018-02-14 21:06:25
1	0	0	10	3	328	331	无法无天	紫碧螺	89707834	1	装备回收	2018-02-14 21:06:28
1	0	0	10	3	328	331	无法无天	泰坦戒指	94042835	1	装备回收	2018-02-14 21:06:28
1	0	0	10	3	328	331	无法无天	力量戒指	69216875	1	装备回收	2018-02-14 21:06:31
1	0	0	10	3	328	331	无法无天	绿色项链	92920221	1	装备回收	2018-02-14 21:06:31
