1	0	0	15	MAYA3	69	59	祖玛弓箭手1	紫碧螺	55039369	0	0	2018-02-05 15:10:08
1	0	0	15	MAYA3	68	62	祖玛雕像1	灵魂项链	55039458	0	0	2018-02-05 15:10:14
1	0	0	4	MAYA3	67	62	无法无天	灵魂项链	55039458	1	0	2018-02-05 15:10:20
1	0	0	4	MAYA3	70	58	无法无天	紫碧螺	55039369	1	0	2018-02-05 15:10:23
1	0	0	15	MAYA3	49	55	祖玛雕像2	龙之手镯	54849347	0	0	2018-02-05 15:12:29
1	0	0	4	MAYA3	50	54	无法无天	龙之手镯	54849347	1	0	2018-02-05 15:12:56
1	0	0	15	MAYA3	51	47	祖玛卫士1	骑士手镯	55039400	0	0	2018-02-05 15:13:47
1	0	0	7	MAYA3	58	45	无法无天	骑士手镯	44627287	1	0	2018-02-05 15:14:20
1	0	0	4	MAYA3	57	44	无法无天	骑士手镯	44627287	1	0	2018-02-05 15:14:26
1	0	0	4	MAYA3	51	46	无法无天	骑士手镯	55039400	1	0	2018-02-05 15:15:02
1	0	0	15	MAYA3	50	40	祖玛雕像1	泰坦戒指	54849326	0	0	2018-02-05 15:15:20
1	0	0	4	MAYA3	50	39	无法无天	泰坦戒指	54849326	1	0	2018-02-05 15:15:26
1	0	0	15	MAYA3	46	31	祖玛弓箭手2	恶魔铃铛	55220613	0	0	2018-02-05 15:15:35
1	0	0	15	MAYA3	51	37	双头血魔1	骨玉权杖	55057661	0	0	2018-02-05 15:16:38
1	0	0	15	MAYA3	42	40	祖玛卫士2	力量戒指	54849308	0	0	2018-02-05 15:17:11
1	0	0	4	MAYA3	51	36	无法无天	骨玉权杖	55057661	1	0	2018-02-05 15:17:26
1	0	0	4	MAYA3	45	30	无法无天	恶魔铃铛	55220613	1	0	2018-02-05 15:17:29
1	0	0	4	MAYA3	41	39	无法无天	力量戒指	54849308	1	0	2018-02-05 15:17:50
1	0	0	15	MAYA3	40	35	祖玛弓箭手1	骨玉权杖	55220597	0	0	2018-02-05 15:18:44
1	0	0	4	MAYA3	39	34	无法无天	骨玉权杖	55220597	1	0	2018-02-05 15:18:56
